project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.TrackingEvents,3,3,26,1,1.0,0,0,0,0,0,3,1.0,0,0,0.0,3,1.0,2,0,8.666666666666666,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.CargoStatus,7,8,64,1,1.0,1,1,0,0,0,21,1.0,0,0,0.0,7,1.0,6,0,9.142857142857142,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.Location,3,3,30,1,1.0,0,2,0,0,0,3,1.0,0,0,0.0,3,1.0,2,0,10.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.CargoRoute,17,21,114,1,1.0,4,5,0,0,0,136,1.0,0,0,0.0,17,1.0,8,0,6.705882352941177,2
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.RouteCandidate,2,3,26,1,1.0,1,1,0,0,0,1,1.0,0,0,0.0,2,1.0,1,0,13.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.Leg,10,13,81,1,1.0,3,0,0,0,2,45,1.0,0,0,0.0,10,1.0,5,0,8.1,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.web.ChangeDestinationDialog,3,9,43,1,1.0,6,0,0,0,0,3,1.0,0,0,0.0,3,1.0,0,0.0,14.333333333333334,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.web.ChangeArrivalDeadline,7,14,64,1,1.0,7,0,1,0,1,21,1.0,0,0,0.0,7,1.0,4,0.0,9.142857142857142,5
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.web.ListCargo,4,11,53,1,1.0,7,0,1,0,0,6,1.0,0,0,0.0,4,1.0,4,0,13.25,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.web.ChangeArrivalDeadlineDialog,3,9,43,1,1.0,6,0,0,0,0,3,1.0,0,0,0.0,3,1.0,0,0.0,14.333333333333334,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.web.ItinerarySelection,7,11,65,1,1.0,4,0,2,0,0,21,1.0,0,0,0.0,7,0.8,4,0.0,9.285714285714286,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.web.Booking,16,37,167,5,1.375,21,0,1,0,0,120,1.0,0,0,0.0,16,1.0,9,0.2,10.4375,6
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.web.Track,6,8,58,1,1.0,2,0,1,0,0,15,1.0,0,0,0.0,6,1.0,4,1.0,9.666666666666666,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.web.ChangeDestination,9,24,88,1,1.0,15,0,2,0,1,36,1.0,0,0,0.0,9,1.0,5,1.0,9.777777777777779,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.web.CargoDetails,4,5,43,1,1.0,1,0,1,0,0,6,1.0,0,0,0.0,4,1.0,3,0,10.75,2
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,1,6,56,1,1.0,5,1,0,0,0,0,0,0,0,0.0,1,1.0,4,0,56.0,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,1,11,47,4,4.0,10,0,0,0,0,0,0,0,0,0.0,1,1.0,4,0,47.0,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.application.internal.DefaultBookingService,5,19,102,2,1.2,14,1,0,0,0,10,1.0,0,0,0.0,5,1.0,4,0.2857142857142857,20.4,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.application.util.DateConverter,4,6,36,1,1.0,2,1,0,0,0,6,1.0,0,0,0.0,4,0.5,4,0.09090909090909091,9.0,6
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.application.util.RestConfiguration,1,2,19,1,1.0,1,1,0,1,0,0,0,1,0,0.0,1,0,0,0,19.0,2
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.application.util.ApplicationSettings,2,2,26,1,1.0,0,0,0,0,0,1,1.0,0,0,0.0,2,1.0,1,0,13.0,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.application.util.SampleDataGenerator,5,26,354,4,2.0,21,0,0,0,5,10,1.0,0,0,0.0,1,1.0,4,0,70.8,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.shared.OrSpecification,1,2,27,1,1.0,1,1,0,1,2,0,0,1,0,0.0,1,1.0,2,0,27.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.shared.NotSpecification,1,2,22,1,1.0,1,1,0,1,1,0,0,1,0,0.0,1,1.0,1,0,22.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.shared.DomainObjectUtils,1,1,18,1,1.0,0,4,0,0,0,0,0,0,0,0.0,1,0,0,0,18.0,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.shared.AndSpecification,1,2,28,1,1.0,1,1,0,1,2,0,0,1,0,0.0,1,1.0,2,0,28.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.shared.AbstractSpecification,4,4,30,1,1.0,0,2,0,0,0,6,1.0,0,0,0.0,4,0,0,0.3333333333333333,7.5,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,4,8,95,3,2.5,4,2,0,0,3,6,1.0,0,0,0.0,1,1.0,3,0.14285714285714285,23.75,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.handling.CannotCreateHandlingEventException,0,0,23,0,0,0,3,0,1,0,0,0,1,0,1.0,0,1.0,0,0,0,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.handling.UnknownLocationException,1,2,19,1,1.0,1,1,0,1,0,0,0,1,0,0.0,1,1.0,1,0,19.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.handling.HandlingHistory,6,15,76,3,1.5,9,5,0,0,4,15,1.0,0,0,0.0,5,0.6666666666666666,3,0.0,12.666666666666666,2
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.handling.HandlingEvent,11,20,305,3,1.3636363636363635,9,11,1,0,3,55,1.0,0,0,0.0,10,1.0,8,0.0,27.727272727272727,5
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.handling.UnknownCargoException,1,2,22,1,1.0,1,1,0,1,0,0,0,1,0,0.0,1,1.0,1,0,22.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.handling.UnknownVoyageException,1,2,20,1,1.0,1,1,0,1,0,0,0,1,0,0.0,1,1.0,1,0,20.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.location.SampleLocations,0,0,19,0,0,0,11,0,0,0,0,0,0,0,0,0,0.0,13,0,0,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.location.Location,6,9,99,4,1.5,3,14,0,0,2,15,1.0,0,0,0.0,6,0.8,4,0.0,16.5,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.location.UnLocode,5,9,77,3,1.4,4,4,0,0,4,10,1.0,0,0,0.0,4,1.0,2,0.0,15.4,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,5,8,64,4,1.6,3,8,0,0,3,10,1.0,0,0,0.0,4,1.0,1,0.0,12.8,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.voyage.CarrierMovement,7,11,120,3,1.2857142857142858,4,1,1,0,1,21,1.0,0,0,0.0,6,0.8571428571428571,6,0.0,17.142857142857142,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.voyage.Schedule,4,9,72,3,1.5,5,1,0,0,2,6,1.0,0,0,0.0,3,0.6666666666666666,2,0.0,18.0,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.voyage.Voyage,6,10,123,4,1.5,4,10,1,0,4,15,1.0,0,0,0.0,6,0.8,4,0.0,20.5,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.voyage.SampleVoyages,3,7,301,1,1.0,4,5,2,0,0,3,1.0,0,0,0.0,2,0.0,16,0.0,100.33333333333333,2
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.cargo.TrackingId,5,8,58,3,1.4,3,9,0,0,3,10,1.0,0,0,0.0,4,1.0,1,0.0,11.6,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.cargo.Delivery,30,56,382,12,1.8,26,1,5,0,7,435,1.0,0,0,0.0,18,0.8461538461538461,10,0.08996539792387544,12.733333333333333,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.cargo.HandlingActivity,7,11,121,4,1.7142857142857142,4,2,3,0,1,21,1.0,0,0,0.0,6,1.0,3,0.0,17.285714285714285,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.cargo.Cargo,13,23,193,3,1.1538461538461537,10,9,4,0,5,78,1.0,0,0,0.0,12,1.0,6,0.0,14.846153846153847,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,7,20,107,3,1.2857142857142858,13,7,2,1,4,21,1.0,1,0,0.36363636363636365,6,1.0,3,0.0,15.285714285714286,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.domain.model.cargo.Itinerary,10,26,166,8,2.3,16,4,2,0,12,45,1.0,0,0,0.0,5,0.6666666666666666,2,0.0,16.6,4
