project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ProviderAttribute,6,10,53,1,1.0,4,4,0,1,2,15,1.0,1,0,0.0,6,1.0,1,0.2,8.833333333333334,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Cohort,31,61,408,4,1.4516129032258065,30,20,0,1,54,465,1.0,1,0,0.0,31,0.8,4,0.0421455938697318,13.161290322580646,7
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Drug,26,40,314,3,1.2307692307692308,14,24,0,1,7,325,1.0,1,0,0.0,26,0.9090909090909091,10,0.033112582781456956,12.076923076923077,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptSource,8,10,128,1,1.0,2,13,0,1,2,28,1.0,1,0,0.0,8,0.75,3,0.2,16.0,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.MedicationDispense,50,52,449,1,1.0,2,6,0,1,2,1225,1.0,1,0,0.0,50,1.0,24,0.07142857142857142,8.98,4
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ProgramWorkflow,23,46,304,3,1.6521739130434783,23,12,0,1,22,253,1.0,1,0,0.0,23,1.0,4,0.05527638190954774,13.217391304347826,6
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.BaseReferenceRange,12,12,152,1,1.0,0,0,0,1,0,66,1.0,1,0,0.0,12,1.0,6,1.0,12.666666666666666,7
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.OrderGroup,25,38,357,4,1.4,13,9,0,1,14,300,1.0,1,0,0.16666666666666666,23,0.9090909090909091,10,0.04186046511627907,14.28,1
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.FormField,27,32,347,2,1.037037037037037,5,5,0,1,4,351,1.0,1,0,0.0,27,0.9166666666666666,11,0.11428571428571428,12.851851851851851,3
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Order,73,153,954,5,1.1917808219178083,80,30,0,1,123,2628,1.0,1,0,0.0641025641025641,71,0.9615384615384616,25,0.05451127819548872,13.068493150684931,6
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.PersonAttributeType,17,22,227,1,1.0,5,14,0,1,3,136,1.0,1,0,0.0,17,0.8571428571428571,6,0.05660377358490566,13.352941176470589,7
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.PersonName,32,88,569,16,2.125,56,46,0,1,61,496,1.0,1,0,0.0,32,0.9285714285714286,13,0.2,17.78125,11
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptReferenceTermMap,11,15,175,3,1.3636363636363635,4,6,0,1,4,55,1.0,1,0,0.0,11,1.0,3,0.1111111111111111,15.909090909090908,1
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ReferralOrder,3,3,66,1,1.0,0,2,0,1,0,3,1.0,1,0,0.0,3,1.0,0,0,22.0,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ProviderAttributeType,4,6,67,1,1.0,2,7,0,1,2,6,1.0,1,0,0.0,4,1.0,1,1.0,16.75,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.DiagnosisAttributeType,4,6,56,1,1.0,2,3,0,1,2,6,1.0,1,0,0.0,4,1.0,1,1.0,14.0,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Condition,27,66,415,2,1.037037037037037,39,10,0,1,45,351,1.0,1,0,0.0,27,1.0,11,0.04477611940298507,15.37037037037037,8
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Diagnosis,21,26,336,1,1.0,5,8,0,1,5,210,1.0,1,0,0.19230769230769232,21,1.0,9,0.046511627906976744,16.0,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Allergy,32,77,457,13,1.84375,45,7,0,1,58,496,1.0,1,0,0.0,30,0.875,7,0.042682926829268296,14.28125,5
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.RelationshipType,14,19,181,1,1.0,5,11,0,1,5,91,1.0,1,0,0.0,14,0.8333333333333334,5,0.15384615384615385,12.928571428571429,3
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.BaseConceptMap,10,12,137,2,1.4,2,0,0,1,0,45,1.0,1,0,0.0,10,1.0,5,0.1111111111111111,13.7,1
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptStopWord,9,14,110,2,1.1111111111111112,5,3,0,1,3,36,1.0,1,0,0.0,9,1.0,3,0.09090909090909091,12.222222222222221,3
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.OrderAttributeType,4,6,55,1,1.0,2,4,0,1,2,6,1.0,1,0,0.0,4,1.0,1,1.0,13.75,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptClass,4,6,122,1,1.0,2,19,0,1,2,6,1.0,1,0,0.0,4,0.05263157894736842,18,1.0,30.5,4
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.BaseChangeableOpenmrsMetadata,0,0,19,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Concept,96,185,1705,12,2.3229166666666665,89,73,0,1,99,4560,1.0,1,0,0.0,93,0.9565217391304348,22,0.05397342012476268,17.760416666666668,16
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.PatientIdentifierType,18,22,250,1,1.0,4,25,0,1,2,153,1.0,1,0,0.0,18,0.875,7,0.07692307692307693,13.88888888888889,5
